name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Pleasanton, CA",2023-08-22,85,65.4,72.6,86.3,65.4,72.9,60.9,68.1,0,10,0,,0,0,17.2,13.9,260,1015.1,37.8,10,291.8,25.1,9,10,2023-08-22T06:29:08,2023-08-22T19:51:07,0.22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"AU719,CI191,KLVK,KHWD,KOAK"
"Pleasanton, CA",2023-08-23,92.9,60,74.9,92.3,60,74.7,57.3,58.7,0,1,0,,0,0,17.2,13.9,257.5,1014,4.6,10.1,302.3,26.3,9,10,2023-08-23T06:29:59,2023-08-23T19:49:45,0.25,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-08-24,89,65,74.7,88.2,65,74.4,55.2,52.1,0,0,0,,0,0,23.9,17.2,254.5,1011.5,3.1,10.1,336.8,29,9,10,2023-08-24T06:30:50,2023-08-24T19:48:22,0.25,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-08-25,79.6,59.3,67.9,79.6,59.3,67.9,55.8,67.2,0,1,0,,0,0,19.9,13.4,261.2,1014.8,14.5,14,301.8,26.2,9,10,2023-08-25T06:31:41,2023-08-25T19:46:58,0.32,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-08-26,81.9,58.2,68.3,81.3,58.2,68.2,54.5,64.6,0,0,0,,0,0,20.8,14.1,264.1,1015.1,11.3,15,299.8,26.1,9,10,2023-08-26T06:32:32,2023-08-26T19:45:33,0.35,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-08-27,82.8,58.7,69.3,82,58.7,69.1,54.3,61.6,0,1,0,,0,0,21.3,14.1,257.8,1014.2,8.4,15,300.5,26.1,9,10,2023-08-27T06:33:22,2023-08-27T19:44:08,0.39,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-08-28,82.1,58.9,68.9,81.6,58.9,68.9,54.6,62.7,0,1,0,,0,0,22.4,15,254.5,1014.5,8.1,15,295.8,25.6,9,10,2023-08-28T06:34:13,2023-08-28T19:42:42,0.42,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-08-29,82.8,58.2,68.9,82,58.2,68.7,54.5,63.3,0,1,0,,0,0,21.7,14.1,258.5,1015.3,7.2,15,289.2,24.9,9,10,2023-08-29T06:35:04,2023-08-29T19:41:16,0.46,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-08-30,94,57.3,73.2,89.7,57.3,71.9,45.5,44.3,0,0,0,,0,0,6.9,7.4,245.6,1010.8,0,15,296.4,25.6,9,10,2023-08-30T06:35:54,2023-08-30T19:39:49,0.5,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-08-31,96.7,63.6,78,91.8,63.6,76.3,39.4,29.4,0,0,0,,0,0,7.4,8.1,253.9,1009,0,15,299.1,25.7,9,10,2023-08-31T06:36:45,2023-08-31T19:38:21,0.52,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-09-01,94.4,63.2,75.6,90.3,63.2,74.4,45.9,37.8,0,0,0,,0,0,8.5,7.8,245.1,1012,0,15,292.4,25.5,9,10,2023-09-01T06:37:35,2023-09-01T19:36:53,0.56,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-09-02,95.1,62.3,75.9,90.5,62.3,74.5,43.5,36.7,0,0,0,,0,0,11,7.6,237.6,1011.3,16.7,15,292.3,25.4,9,10,2023-09-02T06:38:25,2023-09-02T19:35:24,0.59,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-09-03,93.3,59.4,73.5,89.2,59.4,72.4,49.7,48.6,0,4.8,0,,0,0,9.6,7.6,235.9,1009.8,2.9,15,290,25,9,10,2023-09-03T06:39:16,2023-09-03T19:33:55,0.62,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-09-04,86.3,56.4,66.6,83.6,56.4,66.3,52.6,66.6,0,0,0,,0,0,10.1,7.6,244.2,1011.5,0.1,15,287.3,24.7,9,10,2023-09-04T06:40:06,2023-09-04T19:32:25,0.66,Clear,Clear conditions throughout the day.,clear-day,
"Pleasanton, CA",2023-09-05,84.8,54.8,65.6,82.5,54.8,65.4,52.5,68.7,0,0,0,,0,0,8.9,7.8,242.6,1014.3,0.9,15,285.6,24.6,9,10,2023-09-05T06:40:56,2023-09-05T19:30:55,0.69,Clear,Clear conditions throughout the day.,clear-day,
